iter	Passed	Remaining
0	83	166104
1	148	148200
2	206	137399
3	264	132053
4	322	128637
5	382	127038
6	431	122713
7	480	119526
8	530	117306
9	578	115029
10	626	113194
11	673	111518
12	718	109768
13	767	108810
14	820	108540
15	876	108643
16	942	109882
17	1006	110772
18	1065	111042
19	1108	109747
20	1163	109610
21	1202	108160
22	1253	107754
23	1319	108621
24	1379	108983
25	1425	108207
26	1472	107571
27	1511	106433
28	1551	105442
29	1589	104349
30	1629	103526
31	1667	102579
32	1714	102189
33	1759	101754
34	1802	101176
35	1851	101033
36	1903	101003
37	1956	101035
38	2000	100568
39	2054	100668
40	2108	100739
41	2158	100614
42	2235	101748
43	2292	101928
44	2363	102665
45	2413	102536
46	2457	102124
47	2501	101731
48	2543	101266
49	2588	100939
50	2623	100273
51	2666	99881
52	2711	99625
53	2751	99172
54	2793	98805
55	2832	98335
56	2868	97790
57	2912	97528
58	2952	97127
