claims_in_past_90_days,days_since_last_claim,amount_vs_policy_max_ratio,user_role,amount_claimed,budget_utilization_ratio,days_since_expense,is_weekend_expense,historical_approval_rate,has_policy_violation,violation_severity,manager_comment_length,flags_count,is_fraud
1,44,0.4582,Contractor,100.74,0.1036,0,False,0.9611,False,none,1,0,0
5,23,7.8701,Employee,5133.72,1.6208,12,False,0.4946,True,high,294,3,1
1,22,0.164,Manager,197.09,0.0279,3,False,0.8653,False,none,11,0,0
1,25,0.2037,Director,400.27,0.0225,3,False,0.8618,False,none,11,0,0
2,6,0.0,Manager,181.31,0.0213,4,False,0.9783,False,none,14,0,0
0,-1,0.5718,Employee,320.09,0.1213,5,False,0.0,False,none,5,0,0
3,45,0.246,Employee,97.88,0.0337,3,False,0.9335,False,none,1,0,0
6,37,0.3515,Contractor,70.23,0.0956,1,False,0.9815,False,none,12,0,0
2,35,0.0941,Manager,91.92,0.0122,3,False,0.8894,False,none,12,0,0
0,-1,0.2575,Executive,1102.3,0.0207,21,False,0.0,False,none,5,0,0
1,34,0.7916,Employee,342.21,0.1016,2,False,0.8877,False,none,3,0,0
0,-1,0.5614,Employee,332.9546013779481,0.1589,1,False,0.0,False,none,8,0,0
1,54,0.4733,Manager,585.0,0.0891,6,False,0.9458,False,none,5,0,0
3,2,0.3781,Manager,400.57,0.0,0,False,0.8668,False,none,9,0,0
2,53,0.5282,Employee,345.37,0.1607,2,False,0.8604,False,none,4,0,0
2,14,0.3006,Director,759.5,0.0331,5,False,0.9893,False,none,9,0,0
2,16,0.4218,Manager,385.83,0.0459,8,False,0.8837,False,none,7,0,0
3,3,0.2604,Contractor,48.86,0.0431,3,True,0.9789,False,none,15,0,0
0,-1,0.2313,Employee,107.14,0.0498,2,False,0.0,False,none,6,0,0
36,2,0.1527,Manager,147.78,0.0171,0,True,0.8185,False,none,7,1,1
2,56,0.2677,Employee,184.32,0.0594,1,False,0.9885,False,none,3,0,0
4,25,3.7473,Executive,18457.69,0.3648,11,False,0.6512,True,high,197,4,1
1,104,0.5764,Employee,430.15,0.1491,464,False,0.5464,True,medium,57,4,1
2,38,0.5314,Employee,263.8757246359391,0.1148,5,False,0.9215,False,none,1,0,0
0,-1,0.8714,Contractor,200.4817632592589,0.1794,9,False,0.0,False,none,7,0,0
1,21,0.4052,Contractor,64.98,0.0733,3,False,0.9902,False,none,7,0,0
1,60,0.1254,Employee,56.39,0.0166,2,False,0.8609,False,none,3,0,0
22,1,0.1183,Employee,49.9,0.0178,3,False,0.8111,False,none,20,3,1
1,57,0.3095,Manager,359.87,0.0597,0,True,0.8701,False,none,4,0,0
5,17,0.6165,Manager,777.72,0.1365,0,False,0.9258,False,none,1,0,0
3,15,7.2783,Employee,3852.48,0.0,19,False,0.4805,True,high,119,3,1
2,36,0.5113,Manager,438.28,0.0399,1,True,0.8722,False,none,1,0,0
2,57,0.5264,Employee,324.19,0.1293,2,False,0.9812,False,none,7,0,0
5,48,0.1443,Executive,781.0,0.019,4,False,0.9887,False,none,7,0,0
0,-1,0.1932,Manager,138.85,0.0175,5,False,0.0,False,none,14,0,0
4,26,0.4537,Director,1627.28,0.0834,9,False,0.8992,False,none,8,0,0
2,2,0.6498,Employee,264.73,0.0983,4,False,0.8673,False,none,8,0,0
10,9,1.4879,Employee,757.7,0.2085,0,True,0.5541,True,medium,61,4,1
5,48,0.1186,Contractor,27.86,0.023,3,True,0.9606,False,none,10,0,0
4,43,0.583,Manager,744.14,0.0835,0,False,0.9113,False,none,4,0,0
2,37,0.5957,Manager,537.8873658233972,0.0662,0,False,0.8951,True,low,28,1,0
0,-1,0.743,Manager,465.5133083020206,0.0643,3,False,0.0,False,none,5,0,0
0,-1,0.1952,Employee,83.62,0.0245,3,False,0.0,False,none,9,0,0
3,55,0.0,Employee,380.66249466017143,0.1216,7,False,0.9653,False,none,6,0,0
0,-1,0.07,Employee,39.46,0.0144,0,False,0.0,False,none,3,0,0
2,36,0.2715,Employee,114.81,0.0287,5,False,0.8874,False,none,14,0,0
2,40,0.9903,Executive,4636.66250762721,0.0862,2,False,0.9723,False,none,14,0,0
1,41,0.3101,Manager,295.37,0.0269,2,False,0.8916,False,none,7,0,0
1,35,0.1175,Contractor,19.11,0.0144,2,True,0.8621,False,none,4,0,0
1,14,0.41,Contractor,82.96,0.0565,5,False,0.9749,False,none,0,0,0
3,49,0.2684,Manager,317.23,0.0,3,False,0.9085,False,none,7,0,0
3,52,0.344,Employee,158.76,0.0465,0,True,0.9106,False,none,4,0,0
1,6,0.2405,Employee,126.99,0.0484,8,True,0.9464,False,none,1,0,0
5,18,0.2504,Employee,112.87,0.043,0,False,0.9628,False,none,2,0,0
2,5,0.2567,Manager,295.03,0.0329,13,False,0.9672,False,none,7,0,0
2,37,0.706,Contractor,144.51,0.1511,11,False,0.9922,False,none,11,0,0
1,20,0.4105,Manager,517.67,0.0644,11,True,0.8662,False,none,12,0,0
5,7,0.1959,Manager,183.7,0.0243,1,False,0.9546,False,none,3,0,0
2,5,0.0,Employee,282.58,0.0765,3,False,0.9259,False,none,15,0,0
5,30,5.7662,Executive,29267.87,0.6771,13,False,0.4324,True,high,251,8,1
1,16,0.1297,Director,464.98,0.024,4,False,0.9626,False,none,10,0,0
1,77,0.8985,Director,2522.29,0.1381,485,False,0.6667,True,medium,40,3,1
4,46,0.6794,Employee,377.71,0.1072,7,False,0.9236,True,low,24,1,0
1,23,0.8044,Employee,363.8039928591339,0.2046,3,False,0.9138,False,none,14,0,0
4,35,0.3898,Employee,194.18,0.0687,10,False,0.9926,False,none,15,0,0
0,-1,0.3631,Employee,151.52,0.0483,4,False,0.0,False,none,11,0,0
4,36,0.9532,Contractor,191.57,0.1742,1,False,0.8938,False,none,15,0,0
0,-1,0.5356,Contractor,127.67,0.0888,206,False,0.7823,True,medium,44,5,1
1,10,0.0659,Employee,27.43,0.0104,18,False,0.9717,True,low,25,1,0
4,24,8.3177,Manager,7443.09,1.5068,19,False,0.6301,True,high,178,6,1
2,41,0.608,Contractor,130.42,0.117,14,False,0.8817,False,none,5,0,0
1,3,0.4574,Employee,262.65,0.0676,0,False,0.8847,False,none,14,0,0
5,17,5.6885,Employee,2769.01,0.7468,9,False,0.6133,True,high,115,3,1
4,8,0.6587,Employee,298.4616308253719,0.1513,1,False,0.9203,False,none,8,0,0
1,21,0.2091,Employee,104.65,0.0346,15,True,0.9406,False,none,0,0,0
3,31,0.4094,Manager,460.44,0.0792,5,False,0.9278,False,none,13,0,0
3,43,0.5882,Employee,385.32,0.1255,0,True,0.8657,False,none,15,0,0
1,21,0.5974,Director,1816.48,0.07,0,True,0.8879,False,none,0,0,0
3,49,0.0961,Employee,58.21,0.0299,2,False,0.9248,True,low,27,1,0
2,41,0.5668,Director,1006.8701120041892,0.0421,3,False,0.9413,False,none,0,0,0
2,8,0.3163,Contractor,59.7,0.0895,0,True,0.9472,False,none,9,0,0
3,36,0.4101,Employee,221.58,0.0947,0,True,0.8717,False,none,4,0,0
1,33,0.308,Employee,137.69,0.0545,3,True,0.8901,False,none,15,0,0
2,25,0.3913,Employee,155.14,0.0528,10,False,0.9183,False,none,7,0,0
1,46,0.1422,Employee,83.22,0.0317,3,False,0.987,False,none,4,0,0
2,56,0.8024,Contractor,179.08,0.2569,1,True,0.9768,False,none,0,0,0
0,-1,0.7582,Employee,422.8256075533737,0.1327,2,False,0.0,False,none,12,0,0
1,21,0.2884,Director,1059.09,0.078,0,False,0.944,False,none,1,0,0
5,6,0.2052,Employee,80.81,0.031,3,True,0.9151,False,none,3,0,0
1,19,0.4965,Manager,461.7,0.0442,1,False,0.9038,False,none,13,0,0
3,40,0.0507,Manager,64.89,0.011,0,False,0.9525,False,none,7,0,0
1,58,0.15,Employee,89.13,0.0,0,False,0.8931,True,low,32,1,0
1,20,0.5748,Employee,259.39,0.1731,2,False,0.8799,False,none,7,0,0
3,54,0.5063,Employee,223.94,0.0648,7,False,0.9487,False,none,1,0,0
2,15,0.1673,Manager,134.58,0.019,0,False,0.9411,False,none,8,0,0
2,58,0.1735,Manager,120.6,0.013,2,True,0.9441,False,none,1,0,0
4,12,0.5231,Manager,551.14,0.0783,2,False,0.8801,False,none,11,0,0
1,31,0.4287,Director,1329.86,0.0653,7,False,0.9951,False,none,3,0,0
1,44,0.1613,Contractor,42.45,0.047,5,False,0.997,False,none,11,0,0
2,107,1.3359,Employee,372.98,0.116,314,False,0.7467,True,medium,43,4,1
2,40,0.6804,Employee,404.6779113398706,0.142,6,True,0.8832,False,none,9,0,0
4,8,0.0,Employee,151.94,0.0741,0,False,0.8646,False,none,14,0,0
5,47,0.1442,Director,447.0,0.0201,1,False,0.8732,True,low,41,1,0
0,-1,0.1644,Director,453.74,0.0195,4,False,0.0,False,none,11,0,0
0,-1,0.9194,Manager,1007.51,0.1181,383,False,0.5569,True,medium,88,2,1
40,1,0.0982,Employee,44.1,0.0155,1,False,0.6616,False,none,6,3,1
2,39,0.5045,Director,1217.11,0.0668,5,False,0.8504,False,none,4,0,0
2,23,0.1492,Manager,161.54,0.0147,2,False,0.9685,False,none,5,0,0
1,29,0.3821,Employee,143.48,0.0423,3,False,0.9667,False,none,7,0,0
2,30,0.7868,Contractor,150.97567225680314,0.1496,4,True,0.9465,False,none,12,0,0
4,21,0.9946,Employee,556.0068804590636,0.2533,20,True,0.9412,False,none,10,0,0
2,51,0.1243,Employee,93.71,0.0283,2,False,0.9553,False,none,6,0,0
2,47,0.0481,Director,140.58,0.006,6,False,0.8643,False,none,11,0,0
1,28,0.1743,Manager,121.93,0.0161,2,False,0.8645,False,none,1,0,0
2,43,0.5397,Employee,261.81,0.0915,5,False,0.9912,False,none,1,0,0
0,-1,0.617,Manager,583.8251375865125,0.0937,6,False,0.0,False,none,3,0,0
1,28,0.2642,Employee,133.64,0.0428,0,False,0.9768,False,none,0,0,0
2,49,0.6018,Manager,911.1,0.1463,0,False,0.8963,True,low,19,1,0
